"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
"CDCX","2020-03-30","2019-04-15","2018-04-17","2017-03-31","2016-04-14","2015-04-15","2014-03-27","2013-03-28","2012-03-27","2011-03-31",NA,NA,NA,NA,NA
"CEEC","2015-09-21","2012-12-14","2012-06-15","2011-07-11","2009-08-14","2009-05-15","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CELM","2010-03-31","2009-02-17","2014-09-29","2013-09-30","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CESV","2005-12-20","2015-10-13","2014-09-29","2013-09-30","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CEU","2015-03-31","2014-03-31","2013-04-01","2012-04-16","2011-04-15","2010-03-15","2009-03-30","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CFEC","2013-04-16","2012-08-14","2011-08-04","2010-07-29","2009-07-29","2008-07-29","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CGAG","2019-10-15","2018-10-19","2017-10-19","2016-10-07","2015-09-17","2014-09-15","2013-09-12","2012-09-13","2011-09-12","2010-09-07","2009-09-17","2008-09-26",NA,NA,NA
"CGEIU","2020-03-16","2019-03-15","2018-03-14","2017-03-23","2016-03-09","2015-03-10","2014-03-10","2013-02-06","2012-03-30","2008-03-31",NA,NA,NA,NA,NA
"CGLO","2013-04-15","2012-03-30","2011-04-15","2010-08-05","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CGNUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CGPN","2014-03-31","2013-04-01","2012-03-30","2011-04-11","2010-03-31","2009-04-15","2008-04-02","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CGSUF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CGYV","2013-04-18","2012-03-30","2011-04-19","2010-11-03","2009-03-30","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CHBT","2013-07-12","2013-05-21","2012-09-14","2010-06-14","2009-07-14","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CHEY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHGI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHGS","2014-04-15","2013-04-15","2012-04-16","2011-03-31","2010-03-30","2009-03-31","2008-03-31","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CHID","2012-04-02","2011-03-28","2010-04-15","2009-04-15","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CHLN","2015-03-31","2014-03-24","2013-04-01","2012-03-30","2011-03-14","2010-03-15","2009-03-25","2008-03-28","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CHLO","2013-05-15","2012-03-28","2011-03-31","2010-04-15","2009-05-18","2008-04-15","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CHRI","2013-04-30","2012-04-24","2011-04-11","2010-04-15","2009-04-14","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CICC","2016-05-12","2015-04-09","2014-03-26","2013-04-19","2012-03-30","2011-03-31","2010-09-28","2009-09-17","2008-09-29","2008-03-31",NA,NA,NA,NA,NA
"CIL","2010-01-14","2009-02-18","2014-09-29","2013-09-30","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CJJD","2020-07-10","2019-07-01","2018-06-29","2017-06-29","2016-06-28","2015-06-29","2014-06-27","2013-07-01","2012-07-02","2011-06-29","2010-06-29","2010-04-12","2008-10-27",NA,NA
"CKGT","2011-03-31","2010-04-15","2009-04-15","2013-09-30","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CLMN","2011-03-31","2010-04-01","2009-04-15","2008-04-09","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CMDC","2010-04-14","2009-03-31","2014-09-29","2013-09-30","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CMED",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CMFO","2013-03-26","2012-03-28","2011-03-02","2010-03-22","2009-03-23","2008-04-01","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
"CMKM","2012-04-16","2015-10-13","2014-09-29","2013-09-30","2012-09-28","2011-09-13","2010-09-29","2010-03-31","2009-03-25","2008-03-31",NA,NA,NA,NA,NA
